organization,work_area,project,survey,site_id,date,sampling_bout,dive_supervisor,collector,collection_id,hakai_id,sample_type,depth,transect_dist,collected_start,collected_end,species,quantity,size_cm,comments,quality_log
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-02-25,1,Gillian,Kyle,INVERT_2017-02-25_PRUTH_BAY_Edge1_1,MGINV11516,invertebrates,,,2017-02-25T19:50:07.000Z,2017-02-26T07:53:51.000Z,,1,16,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-02-25,1,Gillian,Kyle,INVERT_2017-02-25_PRUTH_BAY_Edge1_1,MGINV11515,invertebrates,,,2017-02-25T19:50:07.000Z,2017-02-26T07:53:51.000Z,,10,1,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-02-25,1,Gillian,Kyle,INVERT_2017-02-25_PRUTH_BAY_Edge1_1,MGINV11516,invertebrates,,,2017-02-25T19:50:07.000Z,2017-02-26T07:53:51.000Z,,1,16,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-02-25,1,Gillian,Kyle,INVERT_2017-02-25_PRUTH_BAY_Edge1_1,MGINV11515,invertebrates,,,2017-02-25T19:50:07.000Z,2017-02-26T07:53:51.000Z,,10,1,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-02-25,1,Gillian,Kyle,INVERT_2017-02-25_PRUTH_BAY_Edge1_1,MGINV11516,invertebrates,,,2017-02-25T19:50:07.000Z,2017-02-26T07:53:51.000Z,,1,16,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-02-25,1,Gillian,Kyle,INVERT_2017-02-25_PRUTH_BAY_Edge1_1,MGINV11515,invertebrates,,,2017-02-25T19:50:07.000Z,2017-02-26T07:53:51.000Z,,10,1,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-02-25,1,Gillian,Kyle,INVERT_2017-02-25_PRUTH_BAY_Edge1_3,MGINV11519,invertebrates,,,2017-02-25T19:46:22.000Z,2017-02-25T19:50:35.000Z,,1,16,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-02-25,1,Gillian,Kyle,INVERT_2017-02-25_PRUTH_BAY_Edge1_3,MGINV11520,invertebrates,,,2017-02-25T19:46:22.000Z,2017-02-25T19:50:35.000Z,,1,20,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-02-25,1,Gillian,Kyle,INVERT_2017-02-25_PRUTH_BAY_Edge1_3,MGINV11519,invertebrates,,,2017-02-25T19:46:22.000Z,2017-02-25T19:50:35.000Z,,1,16,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-02-25,1,Gillian,Kyle,INVERT_2017-02-25_PRUTH_BAY_Edge1_3,MGINV11518,invertebrates,,,2017-02-25T19:46:22.000Z,2017-02-25T19:50:35.000Z,,1,8,,
