"","date","survey","site_id","n_fish_surveys","n_events","issue"
"60","2016-07-31","GOOSE_SOUTHEAST","GOOSE_SOUTHEAST_INTERIOR4",NA,1,"both surveys missing"
"61","2016-07-31","GOOSE_SOUTHEAST","GOOSE_SOUTHEAST_INTERIOR5",NA,1,"both surveys missing"
"62","2016-07-31","GOOSE_SOUTHEAST","GOOSE_SOUTHEAST_INTERIOR6",NA,1,"both surveys missing"
"63","2016-08-01","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE2",NA,1,"both surveys missing"
"64","2016-08-01","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE3",NA,1,"both surveys missing"
"65","2016-08-01","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR5",NA,1,"both surveys missing"
"66","2016-08-01","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6",NA,1,"both surveys missing"
"67","2016-08-03","CHOKED_PASS","CHOKED_PASS_EDGE1",NA,1,"both surveys missing"
"68","2016-08-03","CHOKED_PASS","CHOKED_PASS_EDGE2",NA,1,"both surveys missing"
"69","2016-08-03","CHOKED_PASS","CHOKED_PASS_EDGE3",NA,1,"both surveys missing"
"70","2016-08-03","CHOKED_PASS","CHOKED_PASS_EDGE7",NA,1,"both surveys missing"
"71","2016-08-03","CHOKED_PASS","CHOKED_PASS_INTERIOR4",NA,1,"both surveys missing"
"72","2016-08-03","CHOKED_PASS","CHOKED_PASS_INTERIOR5",NA,1,"both surveys missing"
"73","2016-08-03","CHOKED_PASS","CHOKED_PASS_INTERIOR6",NA,1,"both surveys missing"
"74","2016-08-04","TRIQUET_BAY","TRIQUET_BAY_EDGE1",NA,1,"both surveys missing"
"75","2016-08-04","TRIQUET_BAY","TRIQUET_BAY_EDGE2",NA,1,"both surveys missing"
"76","2016-08-04","TRIQUET_BAY","TRIQUET_BAY_EDGE3",NA,1,"both surveys missing"
"77","2016-08-04","TRIQUET_BAY","TRIQUET_BAY_INTERIOR4",NA,1,"both surveys missing"
"78","2016-08-04","TRIQUET_BAY","TRIQUET_BAY_INTERIOR5",NA,1,"both surveys missing"
"79","2016-08-04","TRIQUET_BAY","TRIQUET_BAY_INTERIOR6",NA,1,"both surveys missing"
"80","2016-08-05","MCMULLIN_SOUTH","MCMULLIN_SOUTH_EDGE1",NA,1,"both surveys missing"
"81","2016-08-05","MCMULLIN_SOUTH","MCMULLIN_SOUTH_EDGE2",NA,1,"both surveys missing"
"82","2016-08-05","MCMULLIN_SOUTH","MCMULLIN_SOUTH_EDGE3",NA,1,"both surveys missing"
"83","2016-08-05","MCMULLIN_SOUTH","MCMULLIN_SOUTH_INTERIOR4",NA,1,"both surveys missing"
"84","2016-08-05","MCMULLIN_SOUTH","MCMULLIN_SOUTH_INTERIOR5",NA,1,"both surveys missing"
"85","2016-08-05","MCMULLIN_SOUTH","MCMULLIN_SOUTH_INTERIOR6",NA,1,"both surveys missing"
"86","2016-08-06","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_EDGE1",NA,1,"both surveys missing"
"87","2016-08-06","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_EDGE2",NA,1,"both surveys missing"
"88","2016-08-06","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_EDGE3",NA,1,"both surveys missing"
"89","2016-08-06","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_INTERIOR4",NA,1,"both surveys missing"
"90","2016-08-06","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_INTERIOR5",NA,1,"both surveys missing"
"91","2016-08-06","GOOSE_SOUTHWEST","GOOSE_SOUTHWEST_INTERIOR6",NA,1,"both surveys missing"
"92","2016-08-17","TRIQUET_BAY","TRIQUET_BAY_EDGE1",NA,1,"both surveys missing"
"93","2016-08-17","TRIQUET_BAY","TRIQUET_BAY_EDGE2",NA,1,"both surveys missing"
"94","2016-08-17","TRIQUET_BAY","TRIQUET_BAY_EDGE3",NA,1,"both surveys missing"
"95","2016-08-17","TRIQUET_BAY","TRIQUET_BAY_INTERIOR4",NA,1,"both surveys missing"
"96","2016-08-17","TRIQUET_BAY","TRIQUET_BAY_INTERIOR5",NA,1,"both surveys missing"
"97","2016-08-17","TRIQUET_BAY","TRIQUET_BAY_INTERIOR6",NA,1,"both surveys missing"
"98","2016-08-18","PRUTH_BAY","PRUTH_BAY_EDGE1",NA,1,"both surveys missing"
"99","2016-08-18","PRUTH_BAY","PRUTH_BAY_EDGE2",NA,1,"both surveys missing"
"100","2016-08-18","PRUTH_BAY","PRUTH_BAY_EDGE3",NA,1,"both surveys missing"
"101","2016-08-18","PRUTH_BAY","PRUTH_BAY_INTERIOR4",NA,1,"both surveys missing"
"102","2016-08-18","PRUTH_BAY","PRUTH_BAY_INTERIOR5",NA,1,"both surveys missing"
"103","2016-08-18","PRUTH_BAY","PRUTH_BAY_INTERIOR6",NA,1,"both surveys missing"
"104","2016-08-19","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE2",NA,1,"both surveys missing"
"105","2016-08-19","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE3",NA,1,"both surveys missing"
"106","2016-08-19","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR5",NA,1,"both surveys missing"
"107","2016-08-19","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6",NA,1,"both surveys missing"
"108","2016-08-20","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1",NA,1,"both surveys missing"
"109","2016-08-20","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4",NA,1,"both surveys missing"
"110","2016-08-21","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE1",NA,1,"both surveys missing"
"111","2016-08-21","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE2",NA,1,"both surveys missing"
"112","2016-08-21","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE3",NA,1,"both surveys missing"
