"","action","work_area","organization","project","date","site_id","sampling_bout","survey","hakai_id","field_staff","gather_lat","gather_long","vessel","samples","quality_level","comments","quality_log"
"23",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-24,"TRIQUET_NORTH_INTERIOR6",6,"TRIQUET_NORTH","2015-06-24_TRIQUET_NORTH_INTERIOR6_6",NA,NA,NA,NA,NA,"Raw",NA,NA
"24",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_NORTH_EDGE1",1,"MCMULLIN_NORTH","2015-06-26_MCMULLIN_NORTH_EDGE1_1",NA,NA,NA,NA,NA,"Raw",NA,NA
"25",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_NORTH_EDGE2",2,"MCMULLIN_NORTH","2015-06-26_MCMULLIN_NORTH_EDGE2_2",NA,NA,NA,NA,NA,"Raw",NA,NA
"26",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_NORTH_EDGE3",3,"MCMULLIN_NORTH","2015-06-26_MCMULLIN_NORTH_EDGE3_3",NA,NA,NA,NA,NA,"Raw",NA,NA
"27",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_NORTH_INTERIOR4",4,"MCMULLIN_NORTH","2015-06-26_MCMULLIN_NORTH_INTERIOR4_4",NA,NA,NA,NA,NA,"Raw",NA,NA
"28",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_NORTH_INTERIOR5",5,"MCMULLIN_NORTH","2015-06-26_MCMULLIN_NORTH_INTERIOR5_5",NA,NA,NA,NA,NA,"Raw",NA,NA
"29",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_NORTH_INTERIOR6",6,"MCMULLIN_NORTH","2015-06-26_MCMULLIN_NORTH_INTERIOR6_6",NA,NA,NA,NA,NA,"Raw",NA,NA
"30",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_SOUTH_EDGE1",1,"MCMULLIN_SOUTH","2015-06-26_MCMULLIN_SOUTH_EDGE1_1",NA,NA,NA,NA,NA,"Raw",NA,NA
"31",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_SOUTH_EDGE2",2,"MCMULLIN_SOUTH","2015-06-26_MCMULLIN_SOUTH_EDGE2_2",NA,NA,NA,NA,NA,"Raw",NA,NA
"32",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_SOUTH_EDGE3",3,"MCMULLIN_SOUTH","2015-06-26_MCMULLIN_SOUTH_EDGE3_3",NA,NA,NA,NA,NA,"Raw",NA,NA
"33",NA,"CALVERT","HAKAI","MARINEGEO",2015-06-26,"MCMULLIN_SOUTH_INTERIOR4",4,"MCMULLIN_SOUTH","2015-06-26_MCMULLIN_SOUTH_INTERIOR4_4",NA,NA,NA,NA,NA,"Raw",NA,NA
